Name	category	price	rating	review_count
Harbor House	Seafood,American (Traditional),Steakhouses	$$	3.0	129
Broderick Grille	Breakfast & Brunch,American (Traditional),Beer Bar	$$	3.0	43
Ham Shop Cafe	Diners,Mediterranean	$	4.0	76
The Squirrel Cage	Breakfast & Brunch,Sandwiches,Soup	$$	4.5	77
PizzaPlex	Pizza	$$	5.0	8
Huron Room	American (Traditional),Seafood,Breakfast & Brunch	$$	4.0	173
The Carvery	Salad,Soup,Sandwiches	$	4.5	34
The Block	American (Traditional)	$$	3.5	119
Mercury Burger Bar	Burgers	$$	4.0	584
7 Greens Detroit Salad	Salad	$$	4.0	63
SnackBar-B-Q	Barbeque	$$	4.0	38
The Peterboro	Chinese,Cocktail Bars	$$	3.5	154
Sweet Lorraine’s Fabulous Mac n’ Cheez!	Salad,Soup,Sandwiches	$	4.0	19
MGM Grand Detroit	Hotels,Casinos,American (Traditional)	$$$	3.0	210
Brooklyn Street Local	Diners,Vegetarian,Vegan	$$	4.0	202
Mamo Burger Bar	American (Traditional),Burgers	$$	4.5	50
American Coney Island	Diners,Hot Dogs	$	3.5	310
Jolly Pumpkin Pizzeria and Brewery	Pizza,Breweries	$$	4.0	327
Pho Nguyen Hoang	Vietnamese	$	4.5	45
Chickpea In the D	American (New),Vegetarian,Middle Eastern	$	4.0	30
Drought	Juice Bars & Smoothies,Live/Raw Food	$$	4.0	18
Pho Lucky - Detroit	Vietnamese	$$	4.0	129
Ukrainian Restaurant	Ukrainian	$	4.5	37
Grill Room at Detroit Athletic Club	American (Traditional),Breakfast & Brunch	$$$$	4.0	14
Wolfgang Puck Steak	Steakhouses	$$$	3.5	71
New Parthenon Restaurant	Greek,Mediterranean,American (Traditional)	$$	3.0	202
Nico	Italian	$$$	4.5	23
Lorelei’s Bistro	Canadian (New)	$$$	5.0	6
Taqueria El Rey	Mexican	$	4.5	220
Orchid Thai Restaurant	Thai	$	3.5	87
Bucharest Grill	Mediterranean,American (Traditional)	$	4.0	79
Detroit Seafood Market	Seafood	$$$	3.0	271
The Manchester	British,Music Venues,Fish & Chips	$$	4.0	47
Cobo Joe’s Bar	Sports Bars,American (Traditional)	$$	3.5	57
Honey Bee La Colmena	Grocery,Mexican	$	4.5	183
Bam Bamz Pizza	Pizza,Seafood,Barbeque	$$	3.0	9
Red Dunn Kitchen	American (New),Bars,Breakfast & Brunch	$$	4.0	55
MAZAAR - Downtown	Middle Eastern	$$	4.0	63
Go! Sy Thai	Thai,Tapas/Small Plates	$	4.0	213
Frenchy’s Poutinery	Poutineries,Fast Food	$	4.0	69
Motor City Brewing Works	Breweries,Pizza	$$	4.0	400
Volt Lounge	American (New)	$$	3.0	52
The Keg Restaurant	Steakhouses	$$$	4.0	47
Niki’s Pizza	Pizza,Greek	$$	3.5	163
Wolfgang Puck Pizzeria & Cucina	American (New)	$$$	3.5	43
Pie Sci	Pizza	$	4.5	75
Jubba Restaurant	Canadian (New),African	$	4.5	16
Detroit 75 Kitchen	Food Trucks,American (Traditional),Sandwiches	$	4.5	99
Union Street	American (Traditional)	$$	3.5	274
Bangkok Crossing	Thai	$	3.5	80
La Palma	Mediterranean,Middle Eastern	$	4.0	102
The Town Pump Tavern	Pubs,American (Traditional)	$$	3.0	95
Lunchtime Global	Sandwiches,Soup	$	4.0	44
Bubi’s Awsome Eats	Burgers,Salad	$$	4.0	52
Taqueria Lupita’s	Mexican	$	4.0	257
The Bronx Bar	Dive Bars,Burgers	$	4.0	220
Sundried Tomato Bistro	Italian	$$	5.0	3
Floods Bar & Grille	American (Traditional),Soul Food,Bars	$$	3.5	68
Gather	Bars,American (Traditional)	$$	4.5	29
The Barrel House	Canadian (New),Pubs	$$	4.5	11
Tropical Hut Philippine Cuisine	Filipino	$	5.0	12
Hard Rock Cafe	American (New),Burgers,Music Venues	$$	3.0	143
Salsarita’s Fresh Mexican Grill	Mexican	$	3.5	12
Cafe March 21	Desserts,Cafes,Coffee & Tea	$	5.0	46
Cutter’s Bar & Grill	Sports Bars,American (Traditional)	$$	4.0	61
Windsor Palace Restaurant	Middle Eastern	$$	4.5	41
The Potato Place	American (Traditional),Ice Cream & Frozen Yogurt	$	4.0	52
Honest John’s Bar & Grill	Pubs,Burgers,Breakfast & Brunch	$	4.0	297
Cadillac Square Diner	Diners,Breakfast & Brunch	$	4.0	35
Bread Meats Bread	Sandwiches		5.0	7
Russell St Deli	Delis,Sandwiches	$$	4.0	194
Café 78	American (Traditional),Cocktail Bars	$$	4.5	17
The Foundry Pub	Gastropubs	$$	4.0	18
The Ghost Bar	American (New),Cocktail Bars	$$	4.0	20
U-Noodles	Chinese,Noodles		5.0	3
Mr. Kabob Grille & Catering	Mediterranean	$	3.5	57
Eastern Market Seafood Co	Seafood,Seafood Markets	$	4.0	24
Gourmet Deli	Delis	$	4.5	9
McShane’s Irish Pub & Whiskey Bar	American (Traditional),Irish Pub,Whiskey Bars	$$	4.0	76
Da Edoardo Foxtown Grille	Italian,Pizza,Desserts	$$$	3.5	55
Asiago’s Pizza	Pizza,Italian	$	3.0	43
The Old Shillelagh	Pubs,Burgers	$	3.0	125
Hero Or Villain Van	Sandwiches,Food Trucks,Caterers	$	5.0	18
Elwood Bar & Grill	Diners,American (Traditional),Sports Bars	$$	3.5	36
The Baltimore	Bars,American (Traditional)	$	3.5	33
