Name,Rating,Reviews_count,compound,positive,neutral,negative
Bobcat Bonnie’s,4.0,316,0.900647619048,0.238,0.679238095238,0.0352857142857
The District Bar & Grill,4.0,23,0.627328571429,0.205285714286,0.699761904762,0.0472857142857
Cliff Bell’s,3.5,442,0.808180952381,0.227952380952,0.702952380952,0.0214285714286
Granite City Food & Brewery,3.0,150,0.544904761905,0.174857142857,0.739904761905,0.0375714285714
Slows Bar BQ,4.0,1710,0.673928571429,0.168666666667,0.740952380952,0.0427142857143
Park Bar,4.0,102,0.435142857143,0.14480952381,0.752,0.055619047619
Red Smoke Barbecue,3.5,390,0.581176190476,0.164428571429,0.748857142857,0.0390476190476
The Squirrel Cage,4.5,77,0.671338095238,0.242761904762,0.665333333333,0.0440952380952
Antietam,4.0,256,0.723876190476,0.189476190476,0.72119047619,0.0417142857143
Grand Trunk Pub,3.5,437,0.521957142857,0.165428571429,0.723285714286,0.0635714285714
Tommy’s Detroit Bar & Grill,4.0,62,0.807476190476,0.22619047619,0.702285714286,0.0239523809524
24grille,3.0,229,0.50639047619,0.125,0.771333333333,0.0561904761905
Hot Taco,3.0,297,0.030580952381,0.106380952381,0.763904761905,0.0821904761905
Detroit Beer Company,3.5,341,0.655423809524,0.163666666667,0.743761904762,0.0450476190476
Ottava Via,4.0,394,0.815471428571,0.225761904762,0.709047619048,0.0175238095238
Gus’s World Famous Fried Chicken,4.0,138,0.87819047619,0.211571428571,0.701,0.039619047619
The Carvery,4.5,34,0.8582,0.237619047619,0.706666666667,0.00809523809524
Caucus Club,4.0,18,0.686765,0.20365,0.7002,0.04615
Blue Star Cafe,4.0,23,0.772414285714,0.202523809524,0.723142857143,0.0267619047619
The Clique Restaurant,4.5,79,0.776666666667,0.186333333333,0.735857142857,0.0300952380952
American Coney Island,3.5,310,0.524280952381,0.133238095238,0.771904761905,0.0472380952381
Sweet Lorraine’s Fabulous Mac n’ Cheez!,4.0,19,0.66847,0.1644,0.7647,0.0209
Cafe March 21,5.0,46,0.799719047619,0.273333333333,0.656428571429,0.0224285714286
Motor City Kitchen,3.5,40,0.528328571429,0.185238095238,0.729714285714,0.0373333333333
Johnny Noodle King,4.0,439,0.892938095238,0.180619047619,0.736238095238,0.0353333333333
Supino Pizzeria,4.5,635,0.904014285714,0.206142857143,0.720380952381,0.0258571428571
Checker Bar,4.0,55,0.74710952381,0.227523809524,0.690619047619,0.0342380952381
Broderick Grille,3.0,43,0.5941,0.137476190476,0.767476190476,0.0474761904762
Mercury Burger Bar,4.0,584,0.774242857143,0.189142857143,0.71980952381,0.0434761904762
Punch Bowl Social Detroit,3.0,557,0.632404761905,0.161095238095,0.754380952381,0.0368571428571
Brooklyn Street Local,4.0,202,0.787219047619,0.220380952381,0.700476190476,0.031619047619
Centaur Bar,3.5,151,0.543947619048,0.151619047619,0.747238095238,0.0535238095238
Frenchy’s Poutinery,4.0,69,0.788676190476,0.144952380952,0.778238095238,0.0292857142857
La Feria,4.0,256,0.781947619048,0.193523809524,0.738571428571,0.020380952381
Chickpea In the D,4.0,30,0.652471428571,0.228047619048,0.688285714286,0.0361428571429
Cook’s Shop the Restaurant,4.5,53,0.871171428571,0.185285714286,0.732523809524,0.0346666666667
HopCat,4.0,498,0.683261904762,0.173666666667,0.741047619048,0.0376666666667
